[2023-08-02 07:08:10.595] sended 0288 to server
[2023-08-02 07:08:10.646] sended 0287 to server
[2023-08-02 07:08:10.646] sended 0287 to server
[2023-08-02 07:08:10.646] sended 0288 to server
[2023-08-02 07:08:10.697] sended 0287 to server
[2023-08-02 07:08:10.697] sended 0287 to server
[2023-08-02 07:08:10.697] sended 0288 to server
[2023-08-02 07:08:10.748] sended 0287 to server
[2023-08-02 07:08:10.799] sended 0288 to server
[2023-08-02 07:08:10.799] sended 0287 to server
[2023-08-02 07:08:10.850] sended 0287 to server
[2023-08-02 07:08:10.850] sended 0287 to server
[2023-08-02 07:08:10.850] sended 0287 to server
[2023-08-02 07:08:10.901] sended 0288 to server
[2023-08-02 07:08:10.901] sended 0288 to server
[2023-08-02 07:08:10.901] sended 0288 to server
[2023-08-02 07:08:10.902] sended 0288 to server
[2023-08-02 07:08:10.952] sended 0287 to server
[2023-08-02 07:08:10.953] sended 0288 to server
[2023-08-02 07:08:11.004] sended 0288 to server
[2023-08-02 07:08:11.004] sended 0287 to server
[2023-08-02 07:08:11.004] sended 0287 to server
[2023-08-02 07:08:11.055] sended 0287 to server
[2023-08-02 07:08:11.056] sended 0288 to server
[2023-08-02 07:08:11.056] sended 0287 to server
[2023-08-02 07:08:11.107] sended 0287 to server
[2023-08-02 07:08:11.107] sended 0287 to server
[2023-08-02 07:08:11.108] sended 0287 to server
[2023-08-02 07:08:11.108] sended 0287 to server
[2023-08-02 07:08:11.159] sended 0287 to server
[2023-08-02 07:08:11.159] sended 0288 to server
[2023-08-02 07:08:11.210] sended 0287 to server
[2023-08-02 07:08:11.211] sended 0287 to server
[2023-08-02 07:08:11.211] sended 0287 to server
[2023-08-02 07:08:11.211] sended 0287 to server
[2023-08-02 07:08:11.262] sended 0287 to server
[2023-08-02 07:08:11.262] sended 0287 to server
[2023-08-02 07:08:11.262] sended 0287 to server
[2023-08-02 07:08:11.313] sended 0287 to server
[2023-08-02 07:08:11.313] sended 0287 to server
[2023-08-02 07:08:11.314] sended 0287 to server
[2023-08-02 07:08:11.364] sended 0288 to server
[2023-08-02 07:08:11.365] sended 0288 to server
[2023-08-02 07:08:11.365] sended 0287 to server
[2023-08-02 07:08:11.365] sended 0287 to server
[2023-08-02 07:08:11.416] sended 0287 to server
[2023-08-02 07:08:11.416] sended 0287 to server
[2023-08-02 07:08:11.416] sended 0287 to server
[2023-08-02 07:08:11.467] sended 0288 to server
[2023-08-02 07:08:11.467] sended 0287 to server
[2023-08-02 07:08:11.468] sended 0288 to server
[2023-08-02 07:08:11.518] sended 0287 to server
[2023-08-02 07:08:11.519] sended 0287 to server
[2023-08-02 07:08:11.569] sended 0288 to server
[2023-08-02 07:08:11.570] sended 0287 to server
[2023-08-02 07:08:11.570] sended 0287 to server
[2023-08-02 07:08:11.621] sended 0288 to server
[2023-08-02 07:08:11.621] sended 0288 to server
[2023-08-02 07:08:11.621] sended 0288 to server
[2023-08-02 07:08:11.672] sended 0288 to server
[2023-08-02 07:08:11.672] sended 0287 to server
[2023-08-02 07:08:11.673] sended 0287 to server
[2023-08-02 07:08:11.673] sended 0287 to server
[2023-08-02 07:08:11.723] sended 0287 to server
[2023-08-02 07:08:11.724] sended 0287 to server
[2023-08-02 07:08:11.724] sended 0287 to server
[2023-08-02 07:08:11.775] sended 0287 to server
[2023-08-02 07:08:11.826] sended 0287 to server
[2023-08-02 07:08:11.876] sended 0288 to server
[2023-08-02 07:08:11.877] sended 0288 to server
[2023-08-02 07:08:11.877] sended 0287 to server
[2023-08-02 07:08:11.877] sended 0287 to server
[2023-08-02 07:08:11.928] sended 0288 to server
[2023-08-02 07:08:11.928] sended 0288 to server
[2023-08-02 07:08:11.928] sended 0288 to server
[2023-08-02 07:08:11.929] sended 0288 to server
[2023-08-02 07:08:11.979] sended 0287 to server
[2023-08-02 07:08:11.980] sended 0287 to server
[2023-08-02 07:08:11.980] sended 0288 to server
[2023-08-02 07:08:11.980] sended 0288 to server
[2023-08-02 07:08:12.031] sended 0287 to server
[2023-08-02 07:08:12.031] sended 0287 to server
[2023-08-02 07:08:12.082] sended 0288 to server
[2023-08-02 07:08:12.082] sended 0288 to server
[2023-08-02 07:08:12.083] sended 0288 to server
[2023-08-02 07:08:12.133] sended 0288 to server
[2023-08-02 07:08:12.134] sended 0288 to server
